date,contract_preamble,strike,yes_price,volume,open_interest,expiry_date,adjusted_yes_price,probability
2023-02-09,U3-23FEB,3,NA,NA,NA,2023-03-11,NA,7.070707070707071
2023-02-10,U3-23FEB,3,NA,NA,NA,2023-03-11,NA,6.0606060606060606
2023-02-11,U3-23FEB,3,NA,NA,NA,2023-03-11,NA,1.0101010101010102
2023-02-12,U3-23FEB,3,NA,NA,NA,2023-03-11,NA,1.0101010101010102
2023-02-13,U3-23FEB,3,NA,NA,NA,2023-03-11,NA,1.0101010101010102
2023-02-14,U3-23FEB,3,NA,NA,NA,2023-03-11,NA,1.0101010101010102
2023-02-15,U3-23FEB,3,NA,NA,NA,2023-03-11,NA,1.0101010101010102
2023-02-16,U3-23FEB,3,NA,NA,NA,2023-03-11,NA,1.0101010101010102
2023-02-17,U3-23FEB,3,NA,NA,NA,2023-03-11,NA,1.0101010101010102
2023-02-18,U3-23FEB,3,NA,NA,NA,2023-03-11,NA,1.0101010101010102
2023-02-19,U3-23FEB,3,NA,NA,NA,2023-03-11,NA,0.5050505050505051
2023-02-20,U3-23FEB,3,NA,NA,NA,2023-03-11,NA,0.5050505050505051
2023-02-21,U3-23FEB,3,NA,NA,NA,2023-03-11,NA,0.5050505050505051
2023-02-22,U3-23FEB,3,NA,NA,NA,2023-03-11,NA,0.5050505050505051
2023-02-23,U3-23FEB,3,NA,NA,NA,2023-03-11,NA,0.5050505050505051
2023-02-24,U3-23FEB,3,NA,NA,NA,2023-03-11,NA,0.5050505050505051
2023-02-25,U3-23FEB,3,NA,NA,NA,2023-03-11,NA,0.5050505050505051
2023-02-26,U3-23FEB,3,NA,NA,NA,2023-03-11,NA,0.5050505050505051
2023-02-27,U3-23FEB,3,NA,NA,NA,2023-03-11,NA,0.5050505050505051
2023-02-28,U3-23FEB,3,NA,NA,NA,2023-03-11,NA,0.5050505050505051
2023-03-01,U3-23FEB,3,NA,NA,NA,2023-03-11,NA,0.5050505050505051
2023-03-02,U3-23FEB,3,NA,NA,NA,2023-03-11,NA,0.5050505050505051
2023-03-03,U3-23FEB,3,NA,NA,NA,2023-03-11,NA,0.5050505050505051
2023-03-04,U3-23FEB,3,NA,NA,NA,2023-03-11,NA,0.5050505050505051
2023-03-05,U3-23FEB,3,NA,NA,NA,2023-03-11,NA,0.5050505050505051
2023-03-06,U3-23FEB,3,NA,NA,NA,2023-03-11,NA,0.5050505050505051
2023-03-07,U3-23FEB,3,NA,NA,NA,2023-03-11,NA,0.5050505050505051
