contract_preamble,date,expiry_date,strike,yes_price,daily_volume,adjusted_yes_price,probability,swapped
FED-21DEC,2021-11-16,2021-12-04,0,0,0,6,94.89795918367346,FALSE
FED-21DEC,2021-11-17,2021-12-04,0,0,0,6,94.89795918367346,FALSE
FED-21DEC,2021-11-18,2021-12-04,0,0,0,3,97.95918367346938,FALSE
FED-21DEC,2021-11-19,2021-12-04,0,0,0,3,97.95918367346938,FALSE
FED-21DEC,2021-11-20,2021-12-04,0,0,0,3,97.95918367346938,FALSE
FED-21DEC,2021-11-21,2021-12-04,0,0,0,3,97.95918367346938,FALSE
FED-21DEC,2021-11-22,2021-12-04,0,0,0,3,97.95918367346938,FALSE
FED-21DEC,2021-11-23,2021-12-04,0,0,0,2,98.9795918367347,FALSE
FED-21DEC,2021-11-24,2021-12-04,0,0,0,2,98.9795918367347,FALSE
FED-21DEC,2021-11-25,2021-12-04,0,0,0,2,98.9795918367347,FALSE
FED-21DEC,2021-11-26,2021-12-04,0,0,0,2,98.9795918367347,FALSE
FED-21DEC,2021-11-27,2021-12-04,0,0,0,2,98.9795918367347,FALSE
FED-21DEC,2021-11-28,2021-12-04,0,0,0,2,98.9795918367347,FALSE
FED-21DEC,2021-11-29,2021-12-04,0,0,0,2,98.9795918367347,FALSE
FED-21DEC,2021-11-30,2021-12-04,0,0,0,2,98.9795918367347,FALSE
FED-21DEC,2021-12-01,2021-12-04,0,0,0,2,98.9795918367347,FALSE
FED-21DEC,2021-12-02,2021-12-04,0,0,0,2,98.9795918367347,FALSE
FED-21DEC,2021-12-03,2021-12-04,0,0,0,2,98.9795918367347,FALSE
FED-21DEC,2021-12-04,2021-12-04,0,0,0,3,97.95918367346938,FALSE
FED-21JUL,2021-07-02,2021-07-26,0,0,0,7,93.87755102040816,FALSE
FED-21JUL,2021-07-03,2021-07-26,0,0,0,7,93.87755102040816,FALSE
FED-21JUL,2021-07-04,2021-07-26,0,0,0,7,93.87755102040816,FALSE
FED-21JUL,2021-07-05,2021-07-26,0,0,0,2,98.9795918367347,FALSE
FED-21JUL,2021-07-06,2021-07-26,0,0,0,2,98.9795918367347,FALSE
FED-21JUL,2021-07-07,2021-07-26,0,0,0,4,96.93877551020408,FALSE
FED-21JUL,2021-07-08,2021-07-26,0,0,0,4,96.93877551020408,FALSE
FED-21JUL,2021-07-09,2021-07-26,0,0,0,4,96.93877551020408,FALSE
FED-21JUL,2021-07-10,2021-07-26,0,0,0,6,94.89795918367346,FALSE
FED-21JUL,2021-07-11,2021-07-26,0,0,0,6,94.89795918367346,FALSE
FED-21JUL,2021-07-12,2021-07-26,0,0,0,6,94.89795918367346,FALSE
FED-21JUL,2021-07-13,2021-07-26,0,0,0,6,94.89795918367346,FALSE
FED-21JUL,2021-07-14,2021-07-26,0,0,0,2,98.9795918367347,FALSE
FED-21JUL,2021-07-15,2021-07-26,0,0,0,2,98.9795918367347,FALSE
FED-21JUL,2021-07-16,2021-07-26,0,0,0,2,98.9795918367347,FALSE
FED-21JUL,2021-07-17,2021-07-26,0,0,0,2,98.9795918367347,FALSE
FED-21JUL,2021-07-18,2021-07-26,0,0,0,2,98.9795918367347,FALSE
FED-21JUL,2021-07-19,2021-07-26,0,0,0,1,100,FALSE
FED-21JUL,2021-07-20,2021-07-26,0,0,0,3,97.95918367346938,FALSE
FED-21JUL,2021-07-21,2021-07-26,0,0,0,2,98.9795918367347,FALSE
FED-21JUL,2021-07-22,2021-07-26,0,0,0,2,98.9795918367347,FALSE
FED-21JUL,2021-07-23,2021-07-26,0,0,0,1,100,FALSE
FED-21JUL,2021-07-24,2021-07-26,0,0,0,1,100,FALSE
FED-21JUL,2021-07-25,2021-07-26,0,0,0,1,100,FALSE
FED-21JUL,2021-07-26,2021-07-26,0,0,0,1,100,FALSE
FED-21SEP,2021-07-30,2021-09-13,0,0,0,3,97.95918367346938,FALSE
FED-21SEP,2021-07-31,2021-09-13,0,0,0,3,97.95918367346938,FALSE
FED-21SEP,2021-08-01,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-08-02,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-08-03,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-08-04,2021-09-13,0,0,0,4,96.93877551020408,FALSE
FED-21SEP,2021-08-05,2021-09-13,0,0,0,4,96.93877551020408,FALSE
FED-21SEP,2021-08-06,2021-09-13,0,0,0,3,97.95918367346938,FALSE
FED-21SEP,2021-08-07,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-08-08,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-08-09,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-08-10,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-08-11,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-08-12,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-08-13,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-08-14,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-08-15,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-08-16,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-08-17,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-08-18,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-08-19,2021-09-13,0,0,0,1,100,FALSE
FED-21SEP,2021-08-20,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-08-21,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-08-22,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-08-23,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-08-24,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-08-25,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-08-26,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-08-27,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-08-28,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-08-29,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-08-30,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-08-31,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-09-01,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-09-02,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-09-03,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-09-04,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-09-05,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-09-06,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-09-07,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-09-08,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-09-09,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-09-10,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-09-11,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-09-12,2021-09-13,0,0,0,2,98.9795918367347,FALSE
FED-21SEP,2021-09-13,2021-09-13,0,0,0,1,100,FALSE
FED-22DEC,2022-06-17,2022-12-14,0,0,0,98,0,FALSE
FED-22DEC,2022-06-18,2022-12-14,0,0,0,98,0,FALSE
FED-22DEC,2022-06-19,2022-12-14,0,0,0,98,0,FALSE
FED-22DEC,2022-06-20,2022-12-14,0,0,0,98,0,FALSE
FED-22DEC,2022-06-21,2022-12-14,0,0,0,98,0,FALSE
FED-22DEC,2022-06-22,2022-12-14,0,0,0,98,0,FALSE
FED-22DEC,2022-06-23,2022-12-14,0,0,0,98,0,FALSE
FED-22DEC,2022-06-24,2022-12-14,0,0,0,98,0,FALSE
FED-22DEC,2022-06-25,2022-12-14,0,0,0,98,0,FALSE
FED-22DEC,2022-06-26,2022-12-14,0,0,0,98,0,FALSE
FED-22DEC,2022-06-27,2022-12-14,0,0,0,98,0,FALSE
FED-22DEC,2022-06-28,2022-12-14,0,0,0,98,0,FALSE
FED-22DEC,2022-06-29,2022-12-14,0,0,0,98,0,FALSE
FED-22DEC,2022-06-30,2022-12-14,0,0,0,98,0,FALSE
FED-22DEC,2022-07-01,2022-12-14,0,0,0,98,0,FALSE
FED-22DEC,2022-07-02,2022-12-14,0,0,0,97,0,FALSE
FED-22DEC,2022-07-03,2022-12-14,0,0,0,97,0,FALSE
FED-22DEC,2022-07-04,2022-12-14,0,0,0,97,0,FALSE
FED-22DEC,2022-07-05,2022-12-14,0,0,0,97,0,FALSE
FED-22DEC,2022-07-06,2022-12-14,0,0,0,97,0,FALSE
FED-22DEC,2022-07-07,2022-12-14,0,0,0,97,0,FALSE
FED-22DEC,2022-07-08,2022-12-14,0,0,0,97,0,FALSE
FED-22DEC,2022-07-09,2022-12-14,0,0,0,97,0,FALSE
FED-22DEC,2022-07-10,2022-12-14,0,0,0,97,0,FALSE
FED-22DEC,2022-07-11,2022-12-14,0,0,0,97,0,FALSE
FED-22DEC,2022-07-12,2022-12-14,0,0,0,97,0,FALSE
FED-22DEC,2022-07-13,2022-12-14,0,0,0,97,0,FALSE
FED-22DEC,2022-07-14,2022-12-14,0,0,0,98,0,FALSE
FED-22DEC,2022-07-15,2022-12-14,0,0,0,98,0,FALSE
FED-22DEC,2022-07-16,2022-12-14,0,0,0,98,0,FALSE
FED-22DEC,2022-07-17,2022-12-14,0,0,0,98,0,FALSE
FED-22DEC,2022-07-18,2022-12-14,0,0,0,98,0,FALSE
FED-22DEC,2022-07-19,2022-12-14,0,0,0,98,0,FALSE
FED-22DEC,2022-07-20,2022-12-14,0,0,0,98,0,FALSE
FED-22DEC,2022-07-21,2022-12-14,0,0,0,98,0,FALSE
FED-22DEC,2022-07-22,2022-12-14,0,0,0,98,0,FALSE
