date,contract_preamble,expiry_date,mean,median,mode,skewness,kurtosis,variance
2024-12-20,KXGDPYEAR-25,2025-09-07,2.554761904761905,2.65,5,0.9221032132424537,-2.019348624862621,5.9800963718820865
2024-12-21,KXGDPYEAR-25,2025-09-07,2.4664283282260806,2.3,2.3,0.18040228824506388,-0.5269912515907822,1.390398308874052
2024-12-22,KXGDPYEAR-25,2025-09-07,2.47542694850202,2.3,2.3,0.18453988703853114,-0.6034296687720442,1.4339386808853627
2024-12-23,KXGDPYEAR-25,2025-09-07,2.47542694850202,2.3,2.3,0.18453988703853114,-0.6034296687720442,1.4339386808853627
2024-12-24,KXGDPYEAR-25,2025-09-07,2.47542694850202,2.3,2.3,0.18453988703853114,-0.6034296687720442,1.4339386808853627
2024-12-25,KXGDPYEAR-25,2025-09-07,2.47542694850202,2.3,2.3,0.18453988703853114,-0.6034296687720442,1.4339386808853627
2024-12-26,KXGDPYEAR-25,2025-09-07,2.47542694850202,2.3,2.3,0.18453988703853114,-0.6034296687720442,1.4339386808853627
2024-12-27,KXGDPYEAR-25,2025-09-07,2.47542694850202,2.3,2.3,0.18453988703853114,-0.6034296687720442,1.4339386808853627
2024-12-28,KXGDPYEAR-25,2025-09-07,2.160497030916096,2.3,2.3,-0.1289027289434537,-0.757484984092669,1.7479057256536996
2024-12-29,KXGDPYEAR-25,2025-09-07,2.165674949993693,2.3,2.3,-0.12890272894345364,-0.6771967225629654,1.683724391270034
2024-12-30,KXGDPYEAR-25,2025-09-07,2.165674949993693,2.3,2.3,-0.12890272894345364,-0.6771967225629654,1.683724391270034
2024-12-31,KXGDPYEAR-25,2025-09-07,2.1699251461763533,2.3,2.3,-0.11844974691178586,-0.8148638058394861,1.791359543063901
2025-01-01,KXGDPYEAR-25,2025-09-07,2.2930089690457938,2.3,2.3,-0.0056750303890650885,-1.00572433288432,2.219406511688629
2025-01-02,KXGDPYEAR-25,2025-09-07,2.293062926416361,2.3,2.3,-0.005675030389065123,-0.9902366423638624,2.202277318070664
2025-01-03,KXGDPYEAR-25,2025-09-07,2.293062926416361,2.3,2.3,-0.005675030389065123,-0.9902366423638624,2.202277318070664
2025-01-04,KXGDPYEAR-25,2025-09-07,2.249938051249122,2.3,2.3,-0.04032021058663852,-1.0119189438410277,2.2516870591422835
2025-01-05,KXGDPYEAR-25,2025-09-07,2.36819290979621,2.3,2.3,0.05744962523382558,-0.9409511080889912,2.1145862387456837
2025-01-06,KXGDPYEAR-25,2025-09-07,2.2768460943546334,2.3,2.3,-0.019000258587277028,-0.9865523377193197,2.2116592422339174
2025-01-07,KXGDPYEAR-25,2025-09-07,2.2768460943546334,2.3,2.3,-0.019000258587277028,-0.9865523377193197,2.2116592422339174
2025-01-08,KXGDPYEAR-25,2025-09-07,2.2768460943546334,2.3,2.3,-0.019000258587277028,-0.9865523377193197,2.2116592422339174
2025-01-09,KXGDPYEAR-25,2025-09-07,2.2768460943546334,2.3,2.3,-0.019000258587277028,-0.9865523377193197,2.2116592422339174
2025-01-10,KXGDPYEAR-25,2025-09-07,2.177125112316467,2.3,0.1,-0.10142236516823606,-0.9077881472026679,2.1696629773553817
2025-01-11,KXGDPYEAR-25,2025-09-07,2.177125112316467,2.3,0.1,-0.10142236516823606,-0.9077881472026679,2.1696629773553817
2025-01-12,KXGDPYEAR-25,2025-09-07,2.154049703905876,2.3,0.1,-0.12169124652042279,-0.8940565051914335,2.121727281804116
2025-01-13,KXGDPYEAR-25,2025-09-07,2.154049703905876,2.3,0.1,-0.12169124652042279,-0.8940565051914335,2.121727281804116
2025-01-14,KXGDPYEAR-25,2025-09-07,2.154049703905876,2.3,0.1,-0.12169124652042279,-0.8940565051914335,2.121727281804116
2025-01-15,KXGDPYEAR-25,2025-09-07,2.154049703905876,2.3,0.1,-0.12169124652042279,-0.8940565051914335,2.121727281804116
2025-01-16,KXGDPYEAR-25,2025-09-07,2.2330116140105742,2.3,0.1,-0.05442597770117425,-0.971757122356876,2.228747178007699
2025-01-17,KXGDPYEAR-25,2025-09-07,2.2421584503758116,2.3,0.1,-0.047163516215728604,-0.965428526132579,2.21928961931428
