lag,rho_5min,ci_lo_5min,ci_hi_5min,rho_5min_25,rho_5min_26,rho_30min,ci_lo_30min,ci_hi_30min,rho_30min_25,rho_30min_26,lead
-6,0.03033185453090868,-0.008050706279488345,0.0678636571689867,0.0526035125940477,-0.014279771424071568,-0.015042129288223067,-0.046592663837191524,0.018002521459858842,-0.032968648732739976,0.006033034383789265,PM leads
-5,-0.023470501506059074,-0.06479233735322658,0.021653519929449423,-0.06491385816540085,0.0595156771168297,0.003085732423574798,-0.026021956116117514,0.030138418937350062,0.009848247025496608,-0.004950042582155207,PM leads
-4,0.04035607704960289,0.00501125132135122,0.07676275171363153,0.04846849897202616,0.02411632981333698,-0.010383827458119005,-0.03514183125826316,0.016380684611432696,-0.015093232733664115,-0.004578600083305383,PM leads
-3,-0.00587248680629713,-0.037141688898698066,0.028996297586968034,-0.021769875307404315,0.025923158639280075,-0.008078885268325703,-0.04060081854439876,0.024788002509451994,-0.023741026796250585,0.01280880866244792,PM leads
-2,0.010706075243795356,-0.021335070752974604,0.04119184909078378,-0.004383476655779624,0.04086369429726293,0.01773794652498063,-0.013046280603333259,0.045846038109420124,0.007134577701971028,0.03223447368548623,PM leads
-1,0.03098206470943943,-0.028854809145211855,0.0987107819244506,0.03113641286371104,0.030673363975366175,0.029707317594250982,-0.004553421414038461,0.06200658412755017,0.018162455739233637,0.045778417747158115,PM leads
0,0.10296103126710988,0.006525753525928761,0.22704942553207277,0.11555084351708149,0.07768616307316334,0.20345663912975676,0.13783019013435682,0.2800651679008583,0.2593533493781908,0.11877679117066736,contemporaneous
1,0.03181835866052049,-0.023150434933535496,0.0910187890660627,0.024938719693405227,0.045567946201683605,0.012984013883878426,-0.019733851197518838,0.04552603851095059,-0.0014871906384257495,0.033298180601983876,K leads
2,-0.00534832184132026,-0.046606423313070765,0.03514896492509182,-0.024273898506465826,0.03250076624234815,-0.015926955912798725,-0.04340787167908972,0.012158851420429303,-0.03290827595664335,0.0072422890391174565,K leads
3,0.030167269079169643,-0.007654132705127771,0.07278176203747916,0.03186075674572485,0.02677978382781385,0.012180882235419813,-0.017807972924620812,0.04145928465264549,0.021443286138890443,-0.00013687218120828954,K leads
4,-0.010225758630665563,-0.0396660033849285,0.023230536339767075,-0.01049087555391479,-0.009695520508531745,-0.007083608434882483,-0.035791105240121135,0.023019462226020016,-0.012579425103654663,-0.0003870102471542331,K leads
5,0.01984358854864027,-0.004782020681418395,0.04649428268667086,0.009694085153220388,0.04012824356986878,-0.001702234165152757,-0.028654044701348063,0.02625911004358682,-0.02022476769136091,0.020051521618976925,K leads
6,0.012294194221314341,-0.028902405907423226,0.05112994063966856,-0.01007057157937225,0.05696452907678023,-0.0033133915377188705,-0.03540475464325904,0.02524405161666619,0.014536870216813252,-0.024025100712657423,K leads
