era,direction,threshold,n,same_n,same_pct,zero_n,zero_pct,opp_n,opp_pct
pooled,K->PM_3c,3c,219,120,54.794520547945204,41,18.72146118721461,58,26.48401826484018
pooled,PM->K_3c,3c,266,105,39.473684210526315,126,47.368421052631575,35,13.157894736842104
pooled,K->PM_5c,5c,110,59,53.63636363636364,21,19.090909090909093,30,27.27272727272727
pooled,PM->K_5c,5c,79,41,51.89873417721519,26,32.91139240506329,12,15.18987341772152
2025_lychee,K->PM_3c,3c,183,95,51.91256830601093,35,19.12568306010929,53,28.96174863387978
2025_lychee,PM->K_3c,3c,226,85,37.610619469026545,110,48.67256637168141,31,13.716814159292035
2025_lychee,K->PM_5c,5c,100,52,52.0,20,20.0,28,28.000000000000004
2025_lychee,PM->K_5c,5c,62,32,51.61290322580645,19,30.64516129032258,11,17.741935483870968
2026_collector,K->PM_3c,3c,36,25,69.44444444444444,6,16.666666666666664,5,13.88888888888889
2026_collector,PM->K_3c,3c,40,20,50.0,16,40.0,4,10.0
2026_collector,K->PM_5c,5c,10,7,70.0,1,10.0,2,20.0
2026_collector,PM->K_5c,5c,17,9,52.94117647058824,7,41.17647058823529,1,5.88235294117647
