fight_id,tier,era,duration_min,censored,type
20250510_ALDZAH,undercard,2025_lychee,1655.0,False,ACTIVE
20250510_ALDZAH,undercard,2025_lychee,130.0,False,ACTIVE
20250510_ALDZAH,undercard,2025_lychee,5.0,False,ACTIVE
20250510_ALDZAH,undercard,2025_lychee,90.0,False,ACTIVE
20250510_ALDZAH,undercard,2025_lychee,15.0,False,ACTIVE
20250510_GRASIL,undercard,2025_lychee,1170.0,False,ACTIVE
20250510_GRASIL,undercard,2025_lychee,10.0,False,ACTIVE
20250510_MUHDEL,undercard,2025_lychee,25.0,False,ACTIVE
20250510_SHEFIO,undercard,2025_lychee,85.0,False,ACTIVE
20250517_BURMOR,undercard,2025_lychee,595.0,False,ACTIVE
20250517_BURMOR,undercard,2025_lychee,1385.0,False,ACTIVE
20250517_BURMOR,undercard,2025_lychee,1195.0,False,ACTIVE
20250517_BURMOR,undercard,2025_lychee,165.0,False,ACTIVE
20250517_BURMOR,undercard,2025_lychee,115.0,False,ACTIVE
20250517_BURMOR,undercard,2025_lychee,5.0,False,ACTIVE
20250517_BURMOR,undercard,2025_lychee,15.0,False,ACTIVE
20250517_BURMOR,undercard,2025_lychee,,True,ACTIVE
20250517_CRABEL,undercard,2025_lychee,1025.0,False,ACTIVE
20250517_CRABEL,undercard,2025_lychee,,True,ACTIVE
20250517_EROCOS,undercard,2025_lychee,1370.0,False,ACTIVE
20250517_EROCOS,undercard,2025_lychee,795.0,False,ACTIVE
20250517_EROCOS,undercard,2025_lychee,,True,ACTIVE
20250517_GRECAM,undercard,2025_lychee,3585.0,False,ACTIVE
20250517_GRECAM,undercard,2025_lychee,10.0,False,ACTIVE
20250517_GRECAM,undercard,2025_lychee,15.0,False,ACTIVE
20250517_GRECAM,undercard,2025_lychee,,True,ACTIVE
20250517_STORUZ,undercard,2025_lychee,1540.0,False,ACTIVE
20250517_STORUZ,undercard,2025_lychee,,True,ACTIVE
20250517_YUSSAN,undercard,2025_lychee,,True,ACTIVE
20250531_BLABAR,undercard,2025_lychee,20.0,False,ACTIVE
20250531_BLABAR,undercard,2025_lychee,10.0,False,ACTIVE
20250531_GAMKLE,undercard,2025_lychee,495.0,False,ACTIVE
20250531_GAMKLE,undercard,2025_lychee,,True,ACTIVE
20250531_GOFBRA,undercard,2025_lychee,60.0,False,ACTIVE
20250531_GOFBRA,undercard,2025_lychee,160.0,False,ACTIVE
20250531_GOFBRA,undercard,2025_lychee,,True,STALE-SIDE
20250531_JACLOP,undercard,2025_lychee,10.0,False,ACTIVE
20250607_GASPYF,undercard,2025_lychee,120.0,False,ACTIVE
20250614_GARBAR,undercard,2025_lychee,195.0,False,ACTIVE
20250614_MENOUM,undercard,2025_lychee,85.0,False,ACTIVE
20250614_SHAPET,undercard,2025_lychee,,True,ACTIVE
20250615_USMBUC,undercard,2025_lychee,495.0,False,ACTIVE
20250628_DINHIN,undercard,2025_lychee,115.0,False,ACTIVE
20250628_DINHIN,undercard,2025_lychee,55.0,False,ACTIVE
20250628_DINHIN,undercard,2025_lychee,10.0,False,STALE-SIDE
20250628_DINHIN,undercard,2025_lychee,245.0,False,ACTIVE
20250628_DINHIN,undercard,2025_lychee,15.0,False,ACTIVE
20250628_TALLIM,main_event,2025_lychee,10.0,False,ACTIVE
20250628_TALLIM,main_event,2025_lychee,40.0,False,ACTIVE
20250712_KATGAR,undercard,2025_lychee,465.0,False,ACTIVE
20250712_LEWTEI,undercard,2025_lychee,645.0,False,ACTIVE
20250712_LEWTEI,undercard,2025_lychee,5.0,False,ACTIVE
20250712_TAFTGT,undercard,2025_lychee,695.0,False,ACTIVE
20250712_THOBON,undercard,2025_lychee,795.0,False,ACTIVE
20250719_COSKOP,main_event,2025_lychee,10.0,False,ACTIVE
20250719_IGEPIT,main_event,2025_lychee,15.0,False,ACTIVE
20250719_IGEPIT,main_event,2025_lychee,5.0,False,STALE-SIDE
20250719_IGEPIT,main_event,2025_lychee,25.0,False,ACTIVE
20250719_IGEPIT,main_event,2025_lychee,5.0,False,STALE-SIDE
20250719_IGEPIT,main_event,2025_lychee,10.0,False,ACTIVE
20250726_ALMOCH,undercard,2025_lychee,165.0,False,ACTIVE
20250726_ALMOCH,undercard,2025_lychee,380.0,False,ACTIVE
20250726_ALMOCH,undercard,2025_lychee,75.0,False,ACTIVE
20250726_KRYGUS,undercard,2025_lychee,365.0,False,ACTIVE
20250726_MAGBAR,undercard,2025_lychee,340.0,False,ACTIVE
20250726_YANMCG,undercard,2025_lychee,215.0,False,ACTIVE
20250802_BRERIB,undercard,2025_lychee,60.0,False,ACTIVE
20250802_DUNREB,undercard,2025_lychee,90.0,False,ACTIVE
20250802_MAGZAL,undercard,2025_lychee,5.0,False,ACTIVE
20250802_SILVAL,undercard,2025_lychee,45.0,False,ACTIVE
20250809_ANDDUN,undercard,2025_lychee,65.0,False,ACTIVE
20250809_DOLHER,undercard,2025_lychee,30.0,False,ACTIVE
20250809_FILROD,undercard,2025_lychee,60.0,False,ACTIVE
20250809_LUCHIL,undercard,2025_lychee,30.0,False,ACTIVE
20250816_BARKLO,undercard,2025_lychee,595.0,False,ACTIVE
20250816_BATRUZ,undercard,2025_lychee,,True,ACTIVE
20250816_GREFER,undercard,2025_lychee,,True,ACTIVE
20250823_MUDBOR,undercard,2025_lychee,880.0,False,ACTIVE
20250823_ORTSTE,undercard,2025_lychee,95.0,False,ACTIVE
20250823_ORTSTE,undercard,2025_lychee,5.0,False,STALE-SIDE
20250823_ORTSTE,undercard,2025_lychee,15.0,False,ACTIVE
